asi_codigo,asi_nombre,asi_creditos
2017541,Introducción a la biología de la conservación,3
2015542,Introducción a la economía,3
2017827,Introducción a la vegetación de Colombia,3
2015250,Introducción al trabajo científico,3
2017010,Laboratorio principios de bioquímica,2
1000031-B,Laboratorio principios de química orgánica,2
1000025-B,Laboratorio tecnicas básicas en química,3
1000002-B,Lecto-Escritura,4
2017532,Limnología,4
2025434,Mastozoología general,3
1000001-B,Matemáticas Básicas,4
1000023-B,Mecánica y ondas para biociencias,4
2017542,Metodología de la investigación científica,2
2017833,Métodos en conservación y manejo de vida silvestre,3
2017543,Microbiología,4
2017837,Ornitología,3
2023214,Principios de bioquímica,3
1000024-B,Principios de química,3
1000030-B,Principios de química orgánica,3
1000013-B,Probabilidad y estadística fundamental,3
2017842,Relaciones ecofisiológicas planta suelo agua,3
2017545,Sistemática Biológica,3
1000074-B,Suficiencia en lengua extranjera,12
2017518,Taxonomía animal,4
2017546,Taxonomía de angiospermas,4
2017845,Tecnicas en biologia molecular,3
2023028,Trabajo de Grado,8
2023029,Trabajo de Grado - Asignaturas de Posgrado,8
2017519,Vertebrados,4
2026555,Algebra abstracta y computacional,4
2015555,Álgebra lineal básica,4
2016696,Algoritmos,3
2015150,Análisis numérico,4
2019103,Análisis numérico II,4
2016697,Arquitectura de computadores,3
2016353,Bases de datos,3
1000010-B,Biología molecular y celular,3
2016342,Cálculo de ecuaciones diferenciales ordinarias,4
2016377,Cálculo diferencial en una variable,4
2015556,Cálculo integral en una variable,4
2015162,Calculo vectorial,4
2025960,Computación visual,3
2027310,Criptografía,3
2026519,Ecuaciones en diferencias finitas y sistemas dinámicos,4
2016698,Elementos de computadores,3
2016699,Estructuras de datos,3
2022689,Fundamentos de fisica,3
2016651,Fundamentos de Física Teórica,3
2015168,Fundamentos de matemáticas,4
2015152,Grupos y anillos,4
2021834,Informática aplicada,3
2016701,Ingeniería de software I,3
